CMDLINE /usr/local/opt/python/bin/python3.7 mandelbrot2.py
MEM 0.300781 1551482305.3291
MEM 11.398438 1551482305.4331
MEM 18.085938 1551482305.5348
MEM 55.804688 1551482305.6351
MEM 80.414062 1551482305.7370
MEM 80.464844 1551482305.8391
MEM 80.527344 1551482305.9402
MEM 80.644531 1551482306.0441
MEM 80.644531 1551482306.1468
MEM 80.757812 1551482306.2474
MEM 80.757812 1551482306.3481
MEM 80.875000 1551482306.4508
MEM 80.875000 1551482306.5524
MEM 80.988281 1551482306.6561
MEM 80.988281 1551482306.7564
MEM 81.101562 1551482306.8587
MEM 81.156250 1551482306.9640
MEM 81.218750 1551482307.0668
MEM 81.332031 1551482307.1712
MEM 81.332031 1551482307.2724
MEM 81.449219 1551482307.3736
MEM 81.449219 1551482307.4747
MEM 81.562500 1551482307.5752
MEM 81.562500 1551482307.6771
MEM 81.679688 1551482307.7809
MEM 81.679688 1551482307.8832
MEM 81.792969 1551482307.9869
MEM 81.792969 1551482308.0906
MEM 81.906250 1551482308.1916
MEM 81.953125 1551482308.2967
MEM 82.023438 1551482308.3980
MEM 82.125000 1551482308.5016
MEM 82.136719 1551482308.6023
MEM 82.253906 1551482308.7027
MEM 82.253906 1551482308.8030
MEM 82.367188 1551482308.9051
MEM 82.367188 1551482309.0062
MEM 82.480469 1551482309.1069
MEM 82.480469 1551482309.2115
MEM 82.593750 1551482309.3147
MEM 82.593750 1551482309.4157
MEM 82.707031 1551482309.5172
MEM 82.707031 1551482309.6205
MEM 82.824219 1551482309.7233
MEM 82.824219 1551482309.8270
MEM 82.937500 1551482309.9303
MEM 82.953125 1551482310.0355
MEM 83.054688 1551482310.1377
MEM 83.109375 1551482310.2392
MEM 83.167969 1551482310.3409
MEM 83.253906 1551482310.4460
MEM 83.281250 1551482310.5470
MEM 83.390625 1551482310.6474
MEM 83.394531 1551482310.7479
MEM 83.507812 1551482310.8519
MEM 83.507812 1551482310.9552
MEM 83.625000 1551482311.0578
MEM 83.625000 1551482311.1603
MEM 83.738281 1551482311.2633
MEM 83.738281 1551482311.3685
MEM 83.855469 1551482311.4687
MEM 83.855469 1551482311.5694
MEM 83.968750 1551482311.6697
MEM 83.968750 1551482311.7716
MEM 84.082031 1551482311.8725
MEM 84.082031 1551482311.9732
MEM 84.195312 1551482312.0779
MEM 84.195312 1551482312.1787
MEM 84.308594 1551482312.2833
MEM 84.308594 1551482312.3871
MEM 84.425781 1551482312.4896
MEM 84.425781 1551482312.5948
MEM 84.539062 1551482312.6959
MEM 84.539062 1551482312.7969
MEM 84.656250 1551482312.9021
MEM 84.656250 1551482313.0029
MEM 84.769531 1551482313.1072
MEM 84.769531 1551482313.2075
MEM 84.882812 1551482313.3127
MEM 84.882812 1551482313.4179
MEM 84.996094 1551482313.5184
MEM 84.996094 1551482313.6188
MEM 85.109375 1551482313.7190
MEM 85.109375 1551482313.8196
MEM 85.226562 1551482313.9205
MEM 85.226562 1551482314.0208
MEM 85.339844 1551482314.1212
MEM 85.339844 1551482314.2223
MEM 85.457031 1551482314.3261
MEM 85.457031 1551482314.4305
MEM 85.570312 1551482314.5334
MEM 85.570312 1551482314.6339
MEM 85.570312 1551482314.7355
MEM 85.683594 1551482314.8369
MEM 85.683594 1551482314.9419
MEM 85.796875 1551482315.0459
MEM 85.796875 1551482315.1468
MEM 85.910156 1551482315.2488
MEM 85.910156 1551482315.3493
MEM 86.027344 1551482315.4517
MEM 86.027344 1551482315.5526
MEM 86.140625 1551482315.6533
MEM 86.140625 1551482315.7547
MEM 86.257812 1551482315.8572
MEM 86.257812 1551482315.9579
MEM 86.277344 1551482316.0600
MEM 86.371094 1551482316.1626
MEM 86.371094 1551482316.2635
MEM 86.484375 1551482316.3663
MEM 86.484375 1551482316.4687
MEM 86.597656 1551482316.5731
MEM 86.597656 1551482316.6734
MEM 86.710938 1551482316.7757
MEM 86.710938 1551482316.8767
MEM 86.828125 1551482316.9776
MEM 86.828125 1551482317.0798
MEM 86.941406 1551482317.1835
MEM 86.941406 1551482317.2876
MEM 87.058594 1551482317.3928
MEM 87.058594 1551482317.4961
MEM 87.171875 1551482317.5977
MEM 87.171875 1551482317.7030
MEM 87.285156 1551482317.8039
MEM 87.285156 1551482317.9042
MEM 87.398438 1551482318.0094
MEM 87.398438 1551482318.1137
MEM 87.511719 1551482318.2148
MEM 87.511719 1551482318.3195
MEM 87.628906 1551482318.4205
MEM 87.628906 1551482318.5209
MEM 87.742188 1551482318.6212
MEM 87.742188 1551482318.7223
MEM 87.859375 1551482318.8241
MEM 87.859375 1551482318.9248
MEM 87.972656 1551482319.0279
