CMDLINE /usr/local/opt/python/bin/python3.7 simpleProgram.py
MEM 0.292969 1551762062.2274
MEM 9.089844 1551762062.3313
MEM 12.453125 1551762062.4352
MEM 19.324219 1551762062.5385
MEM 22.082031 1551762062.6431
MEM 24.257812 1551762062.7477
MEM 26.687500 1551762062.8512
MEM 28.972656 1551762062.9564
MEM 31.554688 1551762063.0590
MEM 33.875000 1551762063.1608
MEM 36.117188 1551762063.2639
MEM 38.722656 1551762063.3643
MEM 41.488281 1551762063.4650
MEM 42.230469 1551762063.5657
MEM 43.675781 1551762063.6671
MEM 46.187500 1551762063.7705
MEM 48.433594 1551762063.8715
MEM 50.765625 1551762063.9746
MEM 53.964844 1551762064.0789
MEM 55.542969 1551762064.1792
MEM 58.175781 1551762064.2838
MEM 60.613281 1551762064.3875
MEM 63.265625 1551762064.4896
MEM 66.605469 1551762064.5901
MEM 69.214844 1551762064.6909
MEM 70.406250 1551762064.7949
MEM 73.003906 1551762064.8961
MEM 75.550781 1551762064.9970
MEM 78.011719 1551762065.0985
MEM 81.343750 1551762065.1998
MEM 84.000000 1551762065.3008
MEM 84.105469 1551762065.4023
MEM 87.085938 1551762065.5076
MEM 89.066406 1551762065.6115
MEM 90.738281 1551762065.7133
MEM 93.390625 1551762065.8152
MEM 93.980469 1551762065.9159
MEM 95.628906 1551762066.0168
MEM 99.207031 1551762066.1181
MEM 101.828125 1551762066.2206
MEM 102.398438 1551762066.3213
MEM 105.445312 1551762066.4234
MEM 107.992188 1551762066.5243
MEM 110.589844 1551762066.6247
MEM 113.015625 1551762066.7254
MEM 114.398438 1551762066.8308
MEM 115.394531 1551762066.9338
MEM 117.128906 1551762067.0367
MEM 120.851562 1551762067.1371
MEM 120.851562 1551762067.2386
MEM 120.851562 1551762067.3416
MEM 121.359375 1551762067.4438
MEM 121.843750 1551762067.5452
MEM 121.976562 1551762067.6462
MEM 122.480469 1551762067.7508
MEM 123.179688 1551762067.8537
MEM 123.468750 1551762067.9564
MEM 123.738281 1551762068.0607
MEM 124.535156 1551762068.1614
MEM 125.027344 1551762068.2634
MEM 125.843750 1551762068.3670
MEM 124.058594 1551762068.4673
MEM 125.265625 1551762068.5728
MEM 125.859375 1551762068.6745
MEM 126.691406 1551762068.7767
MEM 127.367188 1551762068.8776
MEM 127.476562 1551762068.9793
MEM 128.011719 1551762069.0850
MEM 128.710938 1551762069.1872
MEM 129.253906 1551762069.2894
MEM 129.773438 1551762069.3906
MEM 130.308594 1551762069.4947
MEM 130.914062 1551762069.5965
MEM 131.812500 1551762069.6991
MEM 132.753906 1551762069.8000
MEM 133.398438 1551762069.9006
MEM 133.621094 1551762070.0009
MEM 134.550781 1551762070.1050
MEM 136.890625 1551762070.2078
MEM 139.421875 1551762070.3083
MEM 142.164062 1551762070.4119
MEM 144.902344 1551762070.5122
MEM 149.355469 1551762070.6131
MEM 150.480469 1551762070.7135
MEM 151.160156 1551762070.8144
MEM 152.425781 1551762070.9154
MEM 153.847656 1551762071.0164
MEM 151.320312 1551762071.1172
MEM 152.085938 1551762071.2187
MEM 152.851562 1551762071.3206
MEM 153.847656 1551762071.4238
MEM 155.074219 1551762071.5246
MEM 156.972656 1551762071.6273
MEM 158.636719 1551762071.7287
MEM 159.402344 1551762071.8307
MEM 159.972656 1551762071.9343
MEM 160.703125 1551762072.0361
MEM 162.105469 1551762072.1366
MEM 163.882812 1551762072.2375
MEM 164.925781 1551762072.3397
MEM 166.554688 1551762072.4415
MEM 167.640625 1551762072.5435
MEM 168.414062 1551762072.6443
MEM 169.109375 1551762072.7455
MEM 170.339844 1551762072.8467
MEM 167.851562 1551762072.9497
MEM 168.410156 1551762073.0508
MEM 169.320312 1551762073.1512
MEM 170.468750 1551762073.2527
MEM 171.964844 1551762073.3537
MEM 173.179688 1551762073.4549
MEM 173.691406 1551762073.5555
MEM 174.628906 1551762073.6609
MEM 176.796875 1551762073.7635
MEM 179.144531 1551762073.8642
MEM 183.707031 1551762073.9667
MEM 184.093750 1551762074.0710
MEM 185.609375 1551762074.1726
MEM 188.074219 1551762074.2730
MEM 188.878906 1551762074.3773
MEM 189.578125 1551762074.4782
MEM 186.386719 1551762074.5804
MEM 188.074219 1551762074.6842
MEM 187.492188 1551762074.7870
MEM 188.109375 1551762074.8883
MEM 188.769531 1551762074.9895
MEM 188.976562 1551762075.0901
MEM 189.792969 1551762075.1921
MEM 190.660156 1551762075.2980
MEM 190.871094 1551762075.3984
MEM 193.136719 1551762075.4988
MEM 194.742188 1551762075.5999
MEM 195.117188 1551762075.7015
MEM 195.746094 1551762075.8020
MEM 198.148438 1551762075.9022
MEM 200.640625 1551762076.0036
MEM 202.707031 1551762076.1089
MEM 203.652344 1551762076.2094
MEM 205.699219 1551762076.3100
MEM 208.269531 1551762076.4110
MEM 209.859375 1551762076.5114
MEM 212.031250 1551762076.6147
MEM 213.753906 1551762076.7169
MEM 220.031250 1551762076.8211
MEM 218.464844 1551762076.9226
MEM 217.464844 1551762077.0235
MEM 217.167969 1551762077.1280
MEM 219.023438 1551762077.2308
MEM 219.023438 1551762077.3311
MEM 219.023438 1551762077.4341
MEM 219.023438 1551762077.5385
MEM 219.023438 1551762077.6388
MEM 221.667969 1551762077.7417
MEM 218.316406 1551762077.8470
MEM 220.804688 1551762077.9473
MEM 223.042969 1551762078.0477
MEM 224.972656 1551762078.1510
MEM 227.851562 1551762078.2551
MEM 230.750000 1551762078.3591
MEM 232.093750 1551762078.4599
MEM 232.695312 1551762078.5603
MEM 235.214844 1551762078.6607
MEM 237.390625 1551762078.7611
MEM 240.222656 1551762078.8664
MEM 242.441406 1551762078.9668
MEM 245.332031 1551762079.0671
MEM 248.429688 1551762079.1685
MEM 251.449219 1551762079.2693
MEM 254.566406 1551762079.3729
MEM 257.652344 1551762079.4750
MEM 263.152344 1551762079.5792
MEM 264.488281 1551762079.6817
MEM 266.960938 1551762079.7821
MEM 269.792969 1551762079.8872
MEM 272.585938 1551762079.9911
MEM 268.042969 1551762080.0916
MEM 270.843750 1551762080.1918
MEM 273.882812 1551762080.2959
MEM 276.710938 1551762080.4012
MEM 278.597656 1551762080.5032
MEM 280.589844 1551762080.6085
MEM 282.453125 1551762080.7087
MEM 284.292969 1551762080.8113
MEM 287.250000 1551762080.9150
MEM 290.148438 1551762081.0181
MEM 293.230469 1551762081.1192
MEM 296.390625 1551762081.2226
MEM 299.507812 1551762081.3251
MEM 302.800781 1551762081.4303
MEM 305.863281 1551762081.5307
MEM 300.714844 1551762081.6330
MEM 303.996094 1551762081.7371
MEM 307.035156 1551762081.8374
MEM 310.136719 1551762081.9384
MEM 313.265625 1551762082.0410
MEM 316.261719 1551762082.1413
